Study_id,Study_name,country,ISO,admin1,Mul_admin1,time,age_l,age_u,age_mid,total,pos,neg
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,14,14,14.5,18,2,16
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,15,15,15.5,16,8,8
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,16,16,16.5,14,1,13
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,17,17,17.5,6,0,6
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,18,18,18.5,9,4,5
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,19,19,19.5,7,0,7
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,20,20,20.5,6,1,5
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,21,21,21.5,4,1,3
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,22,22,22.5,12,7,5
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,23,23,23.5,6,0,6
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,24,24,24.5,10,3,7
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,25,25,25.5,1,0,1
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,26,26,26.5,9,4,5
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,27,27,27.5,2,1,1
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,28,28,28.5,5,1,4
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,29,29,29.5,11,1,10
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,30,30,30.5,15,0,15
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,31,31,31.5,5,1,4
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,32,32,32.5,8,1,7
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,33,33,33.5,8,0,8
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,34,34,34.5,7,2,5
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,35,35,35.5,9,1,8
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,36,36,36.5,8,2,6
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,37,37,37.5,4,0,4
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,38,38,38.5,9,1,8
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,39,39,39.5,5,2,3
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,40,40,40.5,2,0,2
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,41,41,41.5,4,1,3
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,42,42,42.5,3,1,2
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,43,43,43.5,1,1,0
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,44,44,44.5,3,1,2
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,45,45,45.5,5,0,5
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,46,46,46.5,0,0,0
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,47,47,47.5,3,0,3
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,48,48,48.5,10,2,8
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,49,49,49.5,1,0,1
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,50,50,50.5,3,0,3
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,51,51,51.5,3,0,3
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,52,52,52.5,1,0,1
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,53,53,53.5,2,0,2
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,54,54,54.5,2,0,2
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,55,55,55.5,1,0,1
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,56,56,56.5,3,1,2
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,57,57,57.5,2,0,2
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,58,58,58.5,7,1,6
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,59,59,59.5,6,0,6
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,60,60,60.5,5,0,5
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,61,61,61.5,2,1,1
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,62,62,62.5,0,0,0
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,63,63,63.5,4,1,3
A_Desiree_LaBeaud_ELISA_vil1,A DL et al/ELISA/village 1,Kenya,KEN,Kwale,0,2009,64,64,64.5,0,0,0
